State,!,!=,$,&&,(,),*,+,-,/,;,<,<=,=,==,>,>=,[,],basic,break,do,else,false,id,if,num,real,true,while,{,||,},block,bool,decl,decls,equality,expr,factor,join,loc,program,program',rel,stmt,stmts,term,type,unary
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s2,,,1,,,,,,,,,3,,,,,,,
1,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,r4,r4,r4,,,r4,r4,,,,r4,r4,,r4,,,,4,,,,,,,,,,,,,
3,,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,s8,r9,r9,,,r9,r9,,,,r9,r9,,r9,,,6,,,,,,,,,,,5,,7,
5,,,,,,,,,,,,,,,,,,,,,s10,s14,,,s12,s16,,,,s15,s13,,s17,11,,,,,,,,9,,,,18,,,,
6,,,,,,,,,,,,,,,,,,,,r3,r3,r3,,,r3,r3,,,,r3,r3,,r3,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,s20,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,r7,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,s22,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,s23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,r16,r16,,,r16,r16,,,,r16,r16,,r16,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,r18,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,r4,r4,r4,,,r4,r4,,,,r4,r4,,r4,,,,24,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,32,,,,
15,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,r2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,r8,r8,,,r8,r8,,,,r8,r8,,r8,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,s37,,,,,,,,,,,,,,,,,,,,,,,
22,s39,,,,s43,,,,s46,,,,,,,,,,,,,,,s42,s51,,s41,s45,s48,,,,,,40,,,54,49,53,52,38,,,47,,,50,,44
23,,,,,,,,,,,,,,,,,,,,,r15,r15,,,r15,r15,,,,r15,r15,,r15,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,s8,r9,r9,,,r9,r9,,,,r9,r9,,r9,,,6,,,,,,,,,,,55,,7,
25,,,,,,,,,,,,,,s56,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,s57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,r4,r4,r4,,,r4,r4,,,,r4,r4,,r4,,,,58,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,s26,s29,,,s12,s31,,,,s30,s28,,,27,,,,,,,,25,,,,59,,,,
